종목명,단축코드
삼화네트웍스,046390
KG모빌리언스,046440
서울반도체,046890
우원개발,046940
우리로,046970
한빛소프트,047080
파워로직스,047310
이스트소프트,047560
코데즈컴바인,047770
초록뱀미디어,047820
HLB제약,047920
현대바이오,048410
유라테크,048430
대동스틸,048470
인트론바이오,048530
SM C&C,048550
TPC,048770
엔피케이,048830
시너지이노베이션,048870
대원미디어,048910
인탑스,049070
기가레인,049080
파인디앤씨,049120
셀루메드,049180
코메론,049430
SGA,049470
오픈베이스,049480
유아이엘,049520
잉크테크,049550
재영솔루텍,049630
고려신용정보,049720
승일,049830
미래컴퍼니,049950
쎌바이오텍,049960
비케이홀딩스,050090
캠시스,050110
ES큐브,050120
에스폴리텍,050760
아세아텍,050860
쏠리드,050890
수산아이앤티,050960
지어소프트,051160
토비스,051360
인터플렉스,051370
피씨디렉트,051380
YW,051390
나라엠앤디,051490
CJ프레시웨이,051500
큐로홀딩스,051780
중앙첨단소재,051980
에스티큐브,052020
iMBC,052220
현대바이오랜드,052260
씨티프라퍼티,052300
코텍,052330
코나아이,052400
오성첨단소재,052420
아이크래프트,052460
한네트,052600
제일바이오,052670
아모텍,052710
아이톡시,052770
액토즈소프트,052790
아이앤씨,052860
KX하이텍,052900
바이넥스,053030
지에스이,053050
세동,053060
케이엔솔,053080
프리엠스,053160
금강철강,053260
구영테크,053270
예스24,053280
NE능률,053290
한국정보인증,053300
이니텍,053350
세코닉스,053450
웹케시,053580
프로텍,053610
태양,053620
삼보모터스,053700
안랩,053800
경남제약,053950
오상자이엘,053980
한국컴퓨터,054040
농우바이오,054050
삼진엘앤디,054090
메디콕스,054180
이랜텍,054210
비츠로시스,054220
팬스타엔터프라이즈,054300
케이피티유,054410
텔레칩스,054450
삼영엠텍,054540
APS,054620
에이디칩스,054630
대한뉴팜,054670
키이스트,054780
아이디스홀딩스,054800
한컴위드,054920
유신,054930
엑사이엔씨,054940
제이브이엠,054950
유진로봇,056080
시지메드텍,056090
에스에프에이,056190
코위버,056360
신화인터텍,056700
CNT85,056730
YBM넷,057030
옴니시스템,057540
티사이언티픽,057680
푸른소나무,057880
멕아이씨에스,058110
KNN,058400
한주에이알티,058450
리노공업,058470
에스피지,058610
엠게임,058630
CMG제약,058820
엠로,058970
미코,059090
아이컴포넌트,059100
아진엑스텍,059120
메타바이오메드,059210
해성에어로보틱스,059270
인선이엔티,060150
소니드,060230
스타코링크,060240
NHN KCP,060250
뉴보텍,060260
큐렉소,060280
3S,060310
LS마린솔루션,060370
동양에스텍,060380
국일신동,060480
에스에이티,060540
홈센타홀딩스,060560
드림어스컴퍼니,060570
씨티씨바이오,060590
KH바텍,060720
영림원소프트랩,060850
DGP,060900
알에프텍,061040
화일약품,061250
LB세미콘,061970
한국첨단소재,062970
컴투스홀딩스,063080
서울옥션,063170
SM Life Design,063440
한국전자금융,063570
이엘피,063760
인크레더블버즈,064090
홈캐스트,064240
다날,064260
인텍플러스,064290
브리지텍,064480
테크엘,064520
바이오니아,064550
티씨케이,064760
포니링크,064800
케이프,064820
에프앤가이드,064850
지엔코,065060
탑엔지니어링,065130
대산F&B,065150
비엘팜텍,065170
신성델타테크,065350
위세아이텍,065370
에스아이리소스,065420
이루온,065440
빅텍,065450
오리엔트정공,065500
휴비츠,065510
와이어블,065530
삼영이엔씨,065570
하이퍼코퍼레이션,065650
안트로젠,065660
우주일렉트로,065680
파커스,065690
서호전기,065710
CS,065770
웰크론,065950
하츠,066130
큐에스아이,066310
체리부로,066360
버킷스튜디오,066410
와이오엠,066430
우수AMS,066590
국보디자인,066620
디티씨,066670
테라젠이텍스,066700
씨씨에스,066790
디에이피,066900
손오공,066910
한성크린텍,066980
조이시티,067000
이씨에스,067010
대화제약,067080
SOOP,067160
오텍,067170
멀티캠퍼스,067280
JW신약,067290
하나마이크론,067310
선바이오,067370
아스트,067390
엔브이에이치코리아,067570
HLB생명과학,067630
로지시스,067730
세진티에스,067770
와이엔텍,067900
이글루,067920
도이치모터스,067990
팬엔터테인먼트,068050
케이웨더,068100
다원시스,068240
일신바이오,068330
셀트리온제약,068760
DMS,068790
디지털대성,068930
셀피글로벌,068940
웹젠,069080
누리플랜,069140
유아이디,069330
엔텔스,069410
에스텍,069510
빛과전자,069540
엑시온그룹,069920
엑스큐어,070300
한솔인티큐브,070590
인피니트헬스케어,071200
로체시스템즈,071280
위니아,071460
에이테크솔루션,071670
캐스텍코리아,071850
중앙백신,072020
우리산업홀딩스,072470
제넨바이오,072520
율호,072770
메가스터디,072870
빛샘전자,072950
에이치시티,072990
케이에스피,073010
엘엠에스,073110
듀오백,073190
이노와이어리스,073490
에프알텍,073540
우리손에프앤지,073560
리튬포어스,073570
테라사이언스,073640
아미노로직스,074430
원익QnC,074600
플랜티넷,075130
동국알앤에스,075970
웰크론한텍,076080
해성옵틱스,076610
덕산하이메탈,077360
LS증권,078020
유비쿼스홀딩스,078070
국일제지,078130
대봉엘에스,078140
HB테크놀러지,078150
메디포스트,078160
컴투스,078340
한양디지텍,078350
휴림에이텍,078590
대주전자재료,078600
엔에스이엔엠,078860
가온그룹,078890
퀀타피아,078940
와토스코리아,079000
한창산업,079170
케스피온,079190
제우스,079370
서산,079650
디이엔티,079810
가비아,079940
인베니아,079950
동양이엔피,079960
투비소프트,079970
에스엔유,080000
이상네트웍스,080010
모두투어,080160
제주반도체,080220
모다이노칩,080420
성창오토텍,080470
오디텍,080520
코디,080530
오킨스전자,080580
한국유니온제약,080720
티플랙스,081150
성우전자,081580
옵트론텍,082210
젬백스,082270
코스나인,082660
비보존 제약,082800
우리바이오,082850
비츠로셀,082920
엘오티베큠,083310
GST,083450
이엠앤아이,083470
에프엔에스테크,083500
케이엠,083550
인콘,083640
비에이치아이,083650
CSA 코스믹,083660
CG인바이츠,083790
아바코,083930
휴온스글로벌,084110
수성웹툰,084180
유진테크,084370
유비온,084440
랩지노믹스,084650
팅크웨어,084730
아이티엠반도체,084850
헬릭스미스,084990
차바이오텍,085660
뉴프렉스,085670
알티캐스트,085810
네오티스,085910
바이오톡스텍,086040
진바이오텍,086060
유니테스트,086390
동국제약,086450
에코프로,086520
비엠티,086670
선진뷰티사이언스,086710
바이오솔루션,086820
이수앱지스,086890
메디톡스,086900
MDS테크,086960
쇼박스,086980
펩트론,087010
모바일어플라이언스,087260
픽셀플러스,087600
동아엘텍,088130
쏘닉스,088280
이원컴포텍,088290
유라클,088340
이녹스,088390
에이스테크,088800
동우팜투테이블,088910
켐트로닉스,089010
테크윙,089030
넥스턴바이오,089140
케이씨티,089150
THE E&M,089230
나스미디어,089600
제이티,089790
유비벨록스,089850
코세스,089890
브이엠,089970
상아프론테크,089980
아이윈,090150
로보스타,090360
덕신이피씨,090410
제이스텍,090470
휴림로봇,090710
현대이지웰,090850
이엠텍,091120
S&K폴리텍,091340
한울소재과학,091440
상신이디피,091580
남화토건,091590
파트론,091700
나노캠텍,091970
아미코젠,092040
디엔에프,092070
이크레더블,092130
서울바이오시스,092190
현우산업,092300
한라IMS,092460
앤씨앤,092600
네오팜,092730
엑시콘,092870
빅솔론,093190
케이아이엔엑스,093320
풍강,093380
매커스,093520
케이알엠,093640
서원인텍,093920
동운아나텍,094170
칩스앤미디어,094360
갤럭시아머니트리,094480
일진파워,094820
슈프리마에이치큐,094840
참좋은여행,094850
네오리진,094860
푸른기술,094940
제이엠티,094970
이엠코리아,095190
웨이브일렉트로,095270
ISC,095340
미래나노텍,095500
테스,095610
네오위즈,095660
제넥신,095700
에스에너지,095910
이트론,096040
크레버스,096240
대창솔루션,096350
씨젠,096530
알에프세미,096610
에스코넥,096630
에이루트,096690
엘디티,096870
에코볼트,097780
윈팩,097800
효성오앤비,097870
마이크로컨텍솔,098120
고영,098460
에스티오,098660
아이센스,099190
SDN,099220
쎄트렉아이,099320
브레인즈컴퍼니,099390
동방선기,099410
바이오플러스,099430
스맥,099440
DGI,099520
이지케어텍,099750
인지소프트,100030
뷰웍스,100120
동국S&C,100130
머큐리,100590
서암기계공업,100660
세운메디칼,100700
미래에셋벤처투자,100790
KS인더스트리,101000
월덱스,101160
우림피티에스,101170
씨큐브,101240
모베이스,101330
에코앤드림,101360
아이엠,101390
엔시트론,101400
에스앤에스텍,101490
하이드로리튬,101670
한국정밀기계,101680
위메이드맥스,101730
인화정공,101930
어보브반도체,102120
케이옥션,102370
이엔에프테크놀로지,102710
코오롱생명과학,102940
에스앤더블류,103230
우양,103840
대성파인텍,104040
NHN벅스,104200
디와이피엔에프,104460
티케이케미칼,104480
코렌텍,104540
노랑풍선,104620
원익머트리얼즈,104830
케이엔더블유,105330
엣지파운드리,105550
디케이락,105740
포스뱅크,105760
하이소닉,106080
하이텍팜,106190
파인테크닉스,106240
노블엠앤비,106520
새빗켐,107600
한중엔시에스,107640
톱텍,108230
대양전기공업,108380
로보티즈,108490
셀바스AI,108860
옵티시스,109080
에스와이,109610
씨싸이트,109670
디에스케이,109740
진매트릭스,109820
동일금속,109860
AP헬스케어,109960
전진바이오팜,110020
크리스에프앤씨,110790
디아이티,110990
남화산업,111710
KH 미래물산,111870
위메이드,112040
와이씨켐,112290
디젠스,113810
강원에너지,114190
그린생명과학,114450
폴라리스우노,114630
한솔아이원스,114810
아이패밀리에스씨,114840
휴맥스,115160
큐리언트,115180
인포바인,115310
우리넷,115440
HLB테라퓨틱스,115450
씨유메디칼,115480
케이씨에스,115500
씨엔플러스,115530
스타플렉스,115570
이미지스,115610
알파홀딩스,117670
티로보틱스,117730
모트렉스,118990
포메탈,119500
인터로조,119610
아이텍,119830
지엔씨에너지,119850
대정화금,120240
골프존뉴딘홀딩스,121440
나노신소재,121600
비덴트,121800
코이즈,121850
에스디시스템,121890
제노레이,122310
삼기,122350
KX,122450
예스티,122640
서진오토모티브,122690
와이지엔터테인먼트,122870
와이솔,122990
아이윈플러스,123010
엠에스오토텍,123040
제닉,123330
코리아에프티,123410
위메이드플레이,123420
이엠넷,123570
알톤,123750
뉴온,123840
아나패스,123860
아이티센,124500
태웅로직스,124560
아모그린텍,125210
비나텍,126340
BGF에코머티리얼즈,126600
화신정공,126640
하이비젼시스템,126700
코칩,126730
제이엔케이글로벌,126880
디엔에이링크,127120
아시아경제,127710
화인써키트,127980
에코캡,128540
피제이메탈,128660
앱코,129890
대성하이텍,129920
GH신소재,130500
나이스디앤비,130580
티피씨글로벌,130740
옵투스제약,131030
시큐브,131090
티엔엔터테인먼트,131100
딜리,131180
대한과학,131220
티에스이,131290
알서포트,131370
이브이첨단소재,131400
파인텍,131760
두산테스나,131970
메가엠디,133750
이퓨쳐,134060
탑코미디어,134580
아셈스,136410
하림,136480
윈스,136540
나래나노텍,137080
피엔티,137400
넥스트아이,137940
제이씨케미칼,137950
신진에스엠,138070
오이솔루션,138080
협진,138360
나이벡,138610
BF랩스,139050
키네마스터,139670
서플러스글로벌,140070
메지온,140410
카티스,140430
대창스틸,140520
알에스오토메이션,140670
파크시스템스,140860
비아트론,141000
리가켐바이오,141080
유니트론텍,142210
녹십자엠에스,142280
모아라이프플러스,142760
아이디스,143160
사람인,143240
영우디에스피,143540
지씨셀,144510
뉴파워프라즈마,144960
휴젤,145020
노브랜드,145170
율촌,146060
비씨엔씨,146320
피엠티,147760
제룡산업,147830
세경하이테크,148150
알엔투테크놀로지,148250
비큐AI,148780
에이치와이티씨,148930
아바텍,149950
하이로닉,149980
인트로메딕,150840
파수,150900
KG에코솔루션,151860
퓨처코어,151910
네이블,153460
우리이앤엘,153490
옵티팜,153710
아시아종묘,154030
다산솔루에타,154040
와이엠씨,155650
엘앤케이바이오,156100
아톤,158430
아스플로,159010
제로투세븐,159580
스킨앤스킨,159910
하이젠알앤엠,160190
NEW,160550
이큐셀,160600
싸이맥스,160980
필옵틱스,161580
신스틸,162300
에어레인,163280
핑거,163730
하나머티리얼즈,166090
코아스템켐온,166480
내츄럴엔도텍,168330
펨트론,168360
엠브레인,169330
현대공업,170030
파이오링크,170790
엘티씨,170920
램테크놀러지,171010
선익시스템,171090
라이온켐텍,171120
에이엘티,172670
오파스넷,173130
에프엔씨엔터,173940
장원테크,174880
앱클론,174900
휴먼테크놀로지,175140
아이큐어,175250
베셀,177350
파버나인,177830
서진시스템,178320
일월지엠엘,178780
엠아이텍,179290
애드바이오텍,179530
유티아이,179900
DXVX,180400
큐브엔터,182360
엔케이맥스,182400
코미코,183300
엔지켐생명과학,183490
SGA솔루션즈,184230
아이진,185490
그린플러스,186230
디티앤씨,187220
신화콘텍,187270
제노포커스,187420
현대ADM,187660
나노,187790
디바이스이엔지,187870
세니젠,188260
인텔리안테크,189300
씨이랩,189330
포시에스,189690
서전기전,189860
흥국에프엔비,189980
나무가,190510
코리아에셋투자증권,190650
육일씨엔에쓰,191410
테고사이언스,191420
케이사인,192250
윈하이텍,192390
휴림네트웍스,192410
슈피겐코리아,192440
링크드,193250
데브시스터즈,194480
노바렉스,194700
마니커에프앤지,195500
HK이노엔,195940
에이비프로바이오,195990
알테오젠,196170
애니젠,196300
코아시아씨엠,196450
디에이테크놀로지,196490
웹스,196700
디지캡,197140
엔피디,198080
강동씨앤엘,198440
한주라이트메탈,198940
케이엔알시스템,199430
뱅크웨어글로벌,199480
레이저옵텍,199550
바이오인프라,199730
툴젠,199800
제일일렉트릭,199820
콜마비앤에이치,200130
텔콘RF제약,200230
아티스트스튜디오,200350
에이팩트,200470
휴메딕스,200670
에이디테크놀로지,200710
비씨월드제약,200780
미투온,201490
에이비온,203400
유니온커뮤니티,203450
드림시큐리티,203650
아크솔루션스,203690
그리티,204020
제이앤티씨,204270
티쓰리,204610
글로벌텍스프리,204620
스튜디오산타클로스,204630
지엘팜텍,204840
엑셈,205100
휴마시스,205470
액션스퀘어,205500
베노티앤알,206400
덱스터,206560
바디텍메드,206640
유바이오로직스,206650
미스터블루,207760
정다운,208140
파멥신,208340
지란지교시큐리티,208350
셀바스헬스케어,208370
썸에이지,208640
바이오로그디바이스,208710
엔지스테크널러지,208860
와이제이링크,209640
빅텐츠,210120
인카금융서비스,211050
AP위성,211270
네오오토,212560
덕산네오룩스,213420
클래시스,214150
헥토이노베이션,214180
라파스,214260
FSN,214270
에스엘에너지,214310
케어젠,214370
아이쓰리시스템,214430
파마리서치,214450
미코바이오메드,214610
디알텍,214680
한울BnC,214870
골프존,215000
휴센텍,215090
로보로보,215100
메가스터디교육,215200
우리산업,215360
우정바이오,215380
토박스코리아,215480
신라젠,215600
이노인스트루먼트,215790
인크로스,216050
제테마,216080
제너셈,217190
넵튠,217270
싸이토젠,217330
에스디생명공학,217480
러셀,217500
디딤이앤에프,217620
강스템바이오텍,217730
원익피앤이,217820
미래생명자원,218150
RFHIC,218410
타이거일렉,219130
링크제니시스,219420
디와이디,219550
한국비티비,219750
퓨쳐켐,220100
핸디소프트,220180
켐트로스,220260
유투바이오,221800
하이즈항공,221840
케이디켐,221980
코스맥스엔비티,222040
씨아이에스,222080
팬젠,222110
NPX,222160
쎄노텍,222420
심텍,222800
세토피아,222810
한국맥널티,222980
드림씨아이에스,223250
딥마인드,223310
더코디,224060
에이텍모빌리티,224110
LK삼양,225190
제놀루션,225220
케이엠제약,225430
보광산업,225530
넥슨게임즈,225570
패션플랫폼,225590
신테카바이오,226330
본느,226340
KH 건설,226360
오스테오닉,226400
한송네오텍,226440
올릭스,226950
퀀텀온,227100
아우딘퓨쳐스,227610
엔투텍,227950
동양파일,228340
레이,228670
지노믹트리,228760
레이언스,228850
젠큐릭스,229000
에치에프알,230240
에코마케팅,230360
비유테크놀러지,230980
와이씨,232140
라온테크,232680
시큐센,232830
폴라리스세원,234100
에스트래픽,234300
헥토파이낸셜,234340
녹십자웰빙,234690
자이글,234920
메드팩토,235980
슈프리마,236200
엔비티,236810
에스티팜,237690
피앤씨테크,237750
플레이디,237820
클리오,237880
앤디포스,238090
얼라인드,238120
비피도,238200
힘스,238490
이스트에이드,239340
에이치엘사이언스,239610
피엔에이치테크,239890
유진테크놀로지,240600
원익IPS,240810
DSC인베스트먼트,241520
유니테크노,241690
코스메카코리아,241710
메카로,241770
티이엠씨씨엔에스,241790
피씨엘,241820
에이스토리,241840
나무기술,242040
휴온스,243070
신흥에스이씨,243840
올리패스,244460
EDGC,245620
에스엘에스바이오,246250
TS인베스트먼트,246690
티앤알바이오팹,246710
아스타,246720
SCL사이언스,246960
에코프로비엠,247540
나노씨엠에스,247660
보라티알,250000
모비스,250060
예선테크,250930
바이오에프디엔씨,251120
와이엠티,251370
브이원텍,251630
펌텍코리아,251970
세화피앤씨,252500
샘씨엔에스,252990
스튜디오드래곤,253450
네오셈,253590
수젠텍,253840
자비스,254120
미래반도체,254490
SG,255220
야스,255440
한독크린텍,256150
포인트엔지니어링,256630
한국비엔씨,256840
케이피에스,256940
피엔티엠에스,257370
실리콘투,257720
케일럼,258610
소프트캠프,258790
세종메디칼,258830
엠플러스,259630
알리코제약,260660
씨티케이,260930
에스앤디,260970
덴티스,261200
차백신연구소,261780
에이프로,262260
아이퀘스트,262840
디케이앤디,263020
유틸렉스,263050
덕우전자,263600
디알젬,263690
케어랩스,263700
디앤씨미디어,263720
펄어비스,263750
유에스티,263770
데이타솔루션,263800
상신전자,263810
지니언스,263860
휴엠앤씨,263920
유비쿼스,264450
씨앤지하이테크,264660
이랜시스,264850
AP시스템,265520
영화테크,265560
엔에프씨,265740
나인테크,267320
배럴,267790
매일유업,267980
셀리버리,268600
시스웍,269620
지오릿에너지,270520
에브리봇,270660
뉴트리,270870
팸텍,271830
케이엔제이,272110
이녹스첨단소재,272290
와이즈버즈,273060
와이엠텍,273640
켄코아에어로스페이스,274090
이노시뮬레이션,274400
에스에스알,275630
스코넥,276040
제주맥주,276730
린드먼아시아,277070
인산가,277410
레인보우로보틱스,277810
티에스아이,277880
천보,278280
HLB바이오스텝,278650
미디어젠,279600
레이크머티리얼즈,281740
금양그린파워,282720
코윈테크,282880
카이노스메드,284620
노바텍,285490
진영,285800
나노브릭,286750
브릿지바이오테라퓨틱스,288330
에스퓨얼셀,288620
모아데이타,288980
아이스크림에듀,289010
SV인베스트먼트,289080
자이언트스텝,289220
웨이비스,289930
트윔,290090
DH오토리드,290120
휴네시온,290270
대유,290380
신도기연,290520
디케이티,290550
신시웨이,290560
엘앤씨바이오,290650
네오펙트,290660
대보마그네틱,290670
소룩스,290690
푸드나무,290720
액트로,290740
엔피,291230
압타머사이언스,291650
핀텔,291810
카카오게임즈,293490
나우IB,293580
압타바이오,293780
이오플로우,294090
레몬,294140
쿠콘,294570
서남,294630
에이치브이엠,295310
이노룰스,296640
씨에스베어링,297090
알로이스,297570
HB솔루션,297890
에스씨엠생명과학,298060
에이비엘바이오,298380
더네이쳐홀딩스,298540
슈어소프트테크,298830
하나기술,299030
더블유에스아이,299170
셀리드,299660
위지윅스튜디오,299900
애닉,299910
플리토,300080
라온피플,300120
바이브컴퍼니,301300
이노메트리,302430
리메드,302550
지니틱스,303030
프로티아,303360
이노뎁,303530
솔트룩스,304100
에스바이오메딕스,304360
피플바이오,304840
마이크로디지탈,305090
에스제이그룹,306040
네온테크,306620
아이엘사이언스,307180
원바이오젠,307280
국전약품,307750
비투엔,307870
컴퍼니케이,307930
바이젠셀,308080
까스텔바작,308100
셀비온,308430
오하임앤컴퍼니,309930
LB인베스트먼트,309960
애니플러스,310200
보로노이,310210
디와이씨,310870
지오엘리먼트,311320
네오크레마,311390
CJ 바이오사이언스,311690
에이에프더블류,312610
캐리,313760
지놈앤컴퍼니,314130
알피바이오,314140
바이오다인,314930
딥노이드,315640
라닉스,317120
TS트릴리온,317240
덕산테코피아,317330
캐리소프트,317530
퀀타매트릭스,317690
엑스페릭스,317770
에스피시스템스,317830
대모,317850
엔바이오니아,317870
KBG,318000
팜스빌,318010
포인트모바일,318020
셀바이오휴먼텍,318160
비비씨,318410
현대무벡스,319400
피에스케이,319660
한울반도체,320000
프로이천,321260
센서뷰,321370
티움바이오,321550
아티스트유나이티드,321820
티라유텍,322180
오로스테크놀로지,322310
제이엘케이,322510
코퍼스코리아,322780
엠에프엠코리아,323230
태성,323280
다원넥스뷰,323350
박셀바이오,323990
RF머트리얼즈,327260
루닛,328130
솔트웨어,328380
위더스제약,330350
스톤브릿지벤처스,330730
네패스아크,330860
포커스에이치엔에스,331380
밸로프,331520
셀레믹스,331920
누보,332290
아이디피,332370
와이팜,332570
모코엠시스,333050
일승,333430
엔시스,333620
프레스티지바이오로직스,334970
프리시젼바이오,335810
윙스풋,335870
비올,335890
웨이버스,336060
원텍,336570
탑런토탈솔루션,336680
브랜드엑스코퍼레이션,337930
뷰노,338220
와이바이오로직스,338840
아이비김영,339950
다보링크,340360
세림B&G,340440
티앤엘,340570
씨유박스,340810
유일에너테크,340930
이노진,344860
센코,347000
라이프시맨틱스,347700
피엔케이피부임상연구센타,347740
핌스,347770
디앤디파마텍,347850
알체라,347860
엠투아이,347890
모비릭스,348030
큐라티스,348080
고바이오랩,348150
넥스틴,348210
뉴로메카,348340
위드텍,348350
엔켐,348370
에스에이티이엔지,351320
이삭엔지니어링,351330
차이커뮤니케이션,351870
스톰테크,352090
씨앤씨인터내셔널,352480
씨앤투스,352700
클리노믹스,352770
오비고,352910
인바이오,352940
휴럼,353190
오토앤,353590
이지바이오,353810
엔젠바이오,354200
알멕,354320
코스텍시스,355150
크라우드웍스,355390
에이텀,355690
엑스게이트,356680
티엘비,356860
싸이버원,356890
에이치피오,357230
석경에이티,357550
